Family	CName	SName	Status04	Range	Mass	Clutch	ElevRange
Phasianidae	Reeves's_Pheasant	Syrmaticus_reevesii	3_(VU)	926423	1529	7.5	2400
Phasianidae	Copper_Pheasant	Syrmaticus_soemmerringii	2_(NT)	264709	907	7	1500
Megapodiidae	Red-billed_Brush-turkey	Talegalla_cuvieri	1_(LC)	87383	1785	NA	1600
Megapodiidae	Black-billed_Brush-turkey	Talegalla_fuscirostris	1_(LC)	307393	1000	NA	800
Megapodiidae	Brown-collared_Brush-turkey	Talegalla_jobiensis	1_(LC)	260445	1559	16	1800
Tetraonidae	Black-billed_Capercaillie	Tetrao_parvirostris	1_(LC)	5397872	3640	6.5	NA
Tetraonidae	Black_Grouse	Tetrao_tetrix	1_(LC)	12749121	1255	8	3000
Tetraonidae	Western_Capercaillie	Tetrao_urogallus	1_(LC)	9933490	4100	7.5	NA
Phasianidae	Altai_Snowcock	Tetraogallus_altaicus	1_(LC)	585882	3000	8.2	4100
Phasianidae	Caspian_Snowcock	Tetraogallus_caspius	1_(LC)	335860	2592	7	2200
Phasianidae	Caucasian_Snowcock	Tetraogallus_caucasicus	1_(LC)	154383	1834	6.5	2200
Phasianidae	Himalayan_Snowcock	Tetraogallus_himalayensis	1_(LC)	2891897	2428	8	670
Phasianidae	Tibetan_Snowcock	Tetraogallus_tibetanus	1_(LC)	4235469	1625	4.5	2100
Phasianidae	Chestnut-throated_Partridge	Tetraophasis_obscurus	1_(LC)	523690	938	4	1100
Phasianidae	Buff-throated_Partridge	Tetraophasis_szechenyii	1_(LC)	370264	1260	NA	1300
Phasianidae	Blyth's_Tragopan	Tragopan_blythii	3_(VU)	159469	1930	3.5	1500
Phasianidae	Cabot's_Tragopan	Tragopan_caboti	3_(VU)	192663	1400	4	600
Phasianidae	Western_Tragopan	Tragopan_melanocephalus	3_(VU)	142740	2025	4.5	1600
Phasianidae	Satyr_Tragopan	Tragopan_satyra	2_(NT)	232465	1850	2.5	2150
Phasianidae	Temminck's_Tragopan	Tragopan_temminckii	1_(LC)	870369	1404	4	2745
Tetraonidae	Greater_Prairie-Chicken	Tympanuchus_cupido	3_(VU)	419572	1014	10.5	1524
Tetraonidae	Lesser_Prairie-Chicken	Tympanuchus_pallidicinctus	3_(VU)	115195	784	11	975
Tetraonidae	Sharp-tailed_Grouse	Tympanuchus_phasianellus	1_(LC)	3865637	999	12	3109
Phasianidae	Udzungwa_Forest-partridge	Xenoperdix_udzungwensis	4_(EN)	13877	953	NA	550
